name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Coimbatore, IN",2021-06-01,33.1,23,27.7,37,23,29,21.6,71.8,1.7,100,54.17,rain,,,,27.7,202.6,1008.7,36.6,5.4,240.6,20.8,8,,2021-06-01T05:58:17,2021-06-01T18:41:49,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-02,35,23.9,28.4,38.6,23.9,30.2,22,70.7,0.4,100,16.67,rain,,,,25.9,201.7,1008.7,34.8,5.3,279.9,24.2,10,,2021-06-02T05:58:19,2021-06-02T18:42:06,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-03,35,23.5,28.9,39.5,23.5,31.1,22.4,70.7,10.8,100,100,rain,,,31.7,22.3,218.9,1009.2,57.1,5.2,67.3,5.8,2,,2021-06-03T05:58:21,2021-06-03T18:42:22,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-06-04,34,23.3,27.9,37.5,23.3,29.3,22.3,74,15.8,100,100,rain,,,,22.3,224.5,1010.3,70.9,5.1,136.3,11.9,5,,2021-06-04T05:58:25,2021-06-04T18:42:39,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-06-05,32,24.9,26.9,34.9,24.9,27.6,21.4,73.5,18.7,100,100,rain,,,,25.9,215.9,1010.4,84.8,4.8,188,16.2,7,,2021-06-05T05:58:29,2021-06-05T18:42:56,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-06,34,24.9,28.6,36.5,24.9,30,20.2,61.9,10,100,100,rain,,,,25.9,211.9,1010,51.3,5.4,182.6,15.8,5,,2021-06-06T05:58:34,2021-06-06T18:43:12,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-07,34,24,28.5,38.3,24,30.3,21.7,68.2,0.9,100,37.5,rain,,,,18.4,204.6,1009.9,40.5,5.5,271,23.5,9,,2021-06-07T05:58:39,2021-06-07T18:43:29,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-08,34.1,22,28.1,36.5,22,29.6,21.4,69.9,6.2,100,62.5,rain,,,,22.3,208,1009.3,50.2,5,268.4,23.2,9,,2021-06-08T05:58:45,2021-06-08T18:43:45,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,remote,43317099999"
"Coimbatore, IN",2021-06-09,32.1,24,27.9,34.9,24,29.3,21.8,71.2,4,100,83.33,rain,,,37.1,25.9,203.4,1008.8,44.3,4.9,218.6,19,7,,2021-06-09T05:58:52,2021-06-09T18:44:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43321099999,43341099999,43335099999,43317099999"
"Coimbatore, IN",2021-06-10,34,24,27.6,36.1,24,28.8,21.4,70.9,2.3,100,95.83,rain,,,,27.7,211.5,1008.1,53.9,5.3,264.1,22.8,9,,2021-06-10T05:58:59,2021-06-10T18:44:18,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
